鳞翅目,舟蛾科,C22342000000,拟皮舟蛾属,C22342135000,杨小舟蛾,C22342135005,Micromelalopha troglodyta,杨、柳,金湖县；如皋；泰兴、靖江；建湖、大丰；广陵区；徐州云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区(全市,"杨小舟蛾（Micromelalopha sieversi Staudinger,1892）是舟蛾科小舟蛾属的一种动物。在河南一年3～4代，9月初第3代老熟幼虫开始在树洞、落叶、墙缝和屋角等处吐丝结茧化蛹越冬；产卵于叶背面。寄主植物：杨、柳。危害：以幼虫危害杨、柳等树木叶片"
鞘翅目,吉丁甲科,C21301000000,脊吉丁属,C21301095000,日本脊吉丁,C21301095005,Chalcophora japonica,,宜兴,日本脊吉丁，成虫纺锤形，体长约30mm左右；全体赤铜色至金铜色，新鲜个体全面覆盖黄灰色粉状物。前胸背板及鞘翅上的纵隆线铜黑色。其间具粗大刻点，两后缘角有不定形凹陷。通常缺小盾片。
鞘翅目,天牛科,C21701000000,粒肩天牛属,C21701080000,桑天牛,C21701080005,Apriona germari,桑树、构树，杨、柳、柘树、女贞、樱桃、无花果,金湖县；灌云、连云区；浦口区、江宁区、六合区；海门、如皋；泰兴；泗阳县、泗洪、宿豫区；建湖、东台、阜宁、盐都；邗江区、仪征市；镇江市；吴江区、太仓市、昆山市、吴中区、苏州高新区；徐州：云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区(全市),属鞘翅目，天牛科，沟胫天牛亚科。 分布在北京、天津、广东、广西、湖北、湖南、河北、辽宁、河南、山东、安徽、江苏、上海、浙江、福建、四川、江西、台湾、海南、云南、贵州、山西、陕西等省。成虫食害嫩枝皮和叶；幼虫于枝干的皮下和木质部内，向下蛀食，隧道内无粪屑，隔一定距离向外蛀1通气排粪屑孔，排出大量粪屑，削弱树势，重者枯死。
鞘翅目,天牛科,C21701000000,墨天牛属,C21701445000,松墨天牛,C21701445005,Monochamus alternatus,马尾松,宜兴；建邺区；赣榆区、连云区；泰兴；吴中区,松墨天牛（学名：Monochamus alternatus）是天牛科、墨天牛属的一种昆虫。成虫体长15.0-28.0毫米。体橙黄色到赤褐色，鞘翅上饰有黑色与灰白色斑点。前胸背板有2条相当阔的橙黄色条纹，与3条黑色纵纹相间。小盾片密被橙黄色绒毛。每一鞘翅具5条纵纹，由方形或长方形的黑色及灰白色绒毛斑点相间组成。触角棕栗色，雄虫第1、2节全部和第3节基部具有稀疏的灰白色绒毛；雌虫除末端2、3节外，其余各节大部被灰白毛，只留出末端一小环是深色。触角雄虫超过体长一倍多，雌虫约超出三分之一，第3节比柄节约长一倍，并略长于第4节。前胸侧刺突较大，圆锥形。鞘翅末端近乎切平。松墨天牛是中国松树的重要蛀干害虫，也是松树的毁灭性病害松材线虫病的主要媒介昆虫。在松材线虫的扩散和侵染的过程中，松墨天牛起着携带、传播和协助病原侵入寄主的关键性作用。天敌有病原微生物，寄生性线虫、寄生性昆虫、捕食性昆虫、蜘蛛、鸟等。生活史有成虫、卵、幼虫、蛹4个阶段，一年发生1代，以熟幼虫在坑道内越冬。分布于中国、韩国、日本、老挝。2003年被列入中国国家林业局林业危险性有害生物名单。
鞘翅目,天牛科,C21701000000,星天牛属,C21701065000,星天牛,C21701065010,Anoplophora chinensis Forster,杨、柳、桑、榆、法桐、刺槐、桃、苦楝、香椿、悬铃木、栾树、青桐,滨湖区、宜兴；常州市；金湖县；灌云、连云区；浦口区、玄武区、雨花区、江宁区、溧水区、鼓楼区、六合区；如皋；靖江、泰兴；泗阳县、沭阳、泗洪、宿豫区；盐都区、射阳、大丰、东台；镇江市；高新区、张家港市、车渡村、太仓市、昆山市、常熟市、吴江、吴中区；徐州：云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区(全市),星天牛（Anoplophora chinensis (Forster)）是日本、中国及韩国特有的一种天牛。2000年该虫首次在意大利米兰苗圃和温室被检测到，根据欧盟2000/29/CE指令，将其列为A1类检疫性有害生物。每只雌性星天牛一次交配就可以产达200颗卵，而每颗卵都会被分开藏在树皮中。当幼虫孵化时，它会咀嚼入树内，造成一条通道用来结蛹。由产卵至结蛹及成虫为期可以达12-18个月。星天牛能危害杨树、柳树、榆树、法国梧桐、枣树、板栗等多种树木，也是紫薇、悬铃木、柑橘的主要害虫。中国天牛总科昆虫已记载3科8亚科434属2500余种。
鞘翅目,叶甲科,C21703000000,圆叶甲属,C21703280000,柳蓝叶甲,C21703280010,Plagiodera versicolora,垂柳、杨树，旱柳、桑,金湖县；灌南县；江宁区；海门；姜堰、靖江；宿迁泗阳、沭阳、宿城区、宿豫区；盐都区、阜宁、东台、大丰、建湖；高邮县、宝应县、广陵区、江都区、扬州市开发区、瘦西湖；镇江市；徐州：云龙区、鼓楼区、泉山区、开发区、丰县、沛县、铜山区、睢宁县、邳州市、新沂市、贾汪区,柳蓝叶甲，为鞘翅目，叶甲科。柳蓝叶甲是食叶害虫，危害各种柳、杨等。以成虫和幼虫取食柳、杨叶片，严重将叶片全部吃光，尤其苗圃受害严重。直接影响苗木质量，影响农民的收入。分布在黑龙江、吉林、辽宁、内蒙古、甘肃、宁夏、河北、山西、陕西、山东、江苏等。寄主有玉米、大豆、棉花、桑、各种柳树。成虫取食叶片成缺刻或孔洞，幼虫啃食叶表后，留下一层较透明的叶组织，有时也会造成缺刻或孔洞。
order,family,family_code,genus,genus_code,name,pest_code,latin_name,plant,area,description
order,family,family_code,genus,genus_code,name,pest_code,latin_name,plant,area,description
order,family,family_code,genus,genus_code,name,pest_code,latin_name,plant,area,description
order,family,family_code,genus,genus_code,name,pest_code,latin_name,plant,area,description
order,family,family_code,genus,genus_code,name,pest_code,latin_name,plant,area,description
